iter	Passed	Remaining
718	5974	2334
719	5982	2326
720	5989	2317
721	5998	2309
722	6005	2301
723	6013	2292
724	6020	2283
725	6030	2276
726	6039	2267
727	6046	2259
728	6054	2250
729	6061	2241
730	6068	2233
731	6075	2224
732	6085	2216
733	6092	2207
734	6099	2199
735	6106	2190
736	6112	2181
737	6121	2173
738	6128	2164
739	6136	2156
740	6143	2147
741	6150	2138
742	6160	2131
743	6168	2122
744	6176	2114
745	6202	2111
746	6228	2109
747	6243	2103
748	6255	2096
749	6266	2088
750	6277	2081
751	6286	2073
752	6294	2064
753	6302	2056
754	6310	2047
755	6317	2039
756	6328	2031
757	6336	2022
758	6344	2014
759	6359	2008
760	6371	2001
761	6379	1992
762	6387	1984
763	6396	1975
764	6405	1967
765	6416	1960
766	6425	1951
767	6433	1943
768	6442	1935
769	6451	1927
770	6459	1918
771	6468	1910
772	6479	1902
773	6489	1894
774	6498	1886
775	6506	1878
776	6514	1869
777	6522	1861
778	6532	1853
779	6543	1845
780	6551	1837
781	6559	1828
782	6567	1820
783	6574	1811
784	6581	1802
785	6589	1794
786	6596	1785
787	6605	1777
788	6614	1768
789	6622	1760
790	6629	1751
791	6636	1742
792	6644	1734
793	6653	1726
794	6660	1717
795	6667	1708
796	6674	1700
797	6685	1692
798	6694	1684
799	6702	1675
800	6709	1666
801	6717	1658
802	6725	1650
803	6735	1642
804	6744	1633
805	6752	1625
806	6760	1616
807	6768	1608
808	6776	1599
809	6784	1591
810	6792	1582
811	6800	1574
812	6809	1566
813	6818	1558
814	6826	1549
815	6838	1542
816	6845	1533
817	6853	1524
818	6863	1516
819	6871	1508
820	6882	1500
821	6891	1492
822	6898	1483
823	6906	1475
824	6913	1466
825	6920	1457
826	6927	1449
827	6934	1440
828	6946	1432
829	6953	1424
830	6961	1415
831	6967	1406
832	6975	1398
833	6984	1390
834	6991	1381
835	6999	1373
836	7008	1364
837	7015	1356
838	7024	1347
839	7031	1339
840	7038	1330
841	7046	1322
842	7054	1313
843	7063	1305
844	7071	1297
845	7078	1288
846	7086	1280
847	7093	1271
848	7101	1262
849	7108	1254
850	7114	1245
851	7121	1237
852	7128	1228
853	7138	1220
854	7145	1211
855	7153	1203
856	7160	1194
857	7168	1186
858	7175	1177
859	7183	1169
860	7192	1161
861	7200	1152
862	7208	1144
863	7217	1136
864	7225	1127
865	7232	1119
866	7239	1110
867	7246	1102
868	7253	1093
869	7261	1084
870	7269	1076
871	7277	1068
872	7284	1059
873	7292	1051
874	7299	1042
875	7307	1034
876	7315	1025
877	7323	1017
878	7331	1009
879	7339	1000
880	7347	992
881	7355	984
882	7362	975
883	7369	966
884	7375	958
885	7383	949
886	7390	941
887	7400	933
888	7407	924
889	7415	916
890	7422	908
891	7430	899
892	7437	891
893	7445	882
894	7452	874
895	7461	866
896	7470	857
897	7477	849
898	7484	840
899	7491	832
900	7498	823
901	7505	815
902	7513	807
903	7521	798
904	7530	790
905	7538	782
906	7545	773
907	7554	765
908	7561	756
909	7568	748
910	7575	740
911	7582	731
912	7588	723
913	7599	715
914	7606	706
915	7613	698
916	7620	689
917	7627	681
918	7635	672
919	7642	664
920	7649	656
921	7657	647
922	7666	639
923	7675	631
924	7682	622
925	7689	614
926	7697	606
927	7704	597
928	7711	589
929	7718	580
930	7728	572
931	7735	564
932	7743	556
933	7750	547
934	7758	539
935	7765	531
936	7772	522
937	7780	514
938	7788	505
939	7799	497
940	7806	489
941	7813	481
942	7821	472
943	7828	464
944	7835	456
945	7842	447
946	7849	439
947	7858	431
948	7866	422
949	7874	414
950	7881	406
951	7888	397
952	7896	389
953	7904	381
954	7912	372
955	7920	364
956	7928	356
957	7935	347
958	7942	339
959	7949	331
960	7956	322
961	7964	314
962	7971	306
963	7978	297
964	7988	289
965	7997	281
966	8005	273
967	8012	264
968	8019	256
969	8027	248
970	8034	239
971	8043	231
972	8053	223
973	8061	215
974	8069	206
975	8077	198
976	8084	190
977	8092	182
978	8099	173
979	8106	165
980	8115	157
981	8124	148
982	8132	140
983	8139	132
984	8146	124
985	8153	115
986	8160	107
987	8167	99
988	8178	90
989	8184	82
990	8197	74
991	8206	66
992	8214	57
993	8221	49
994	8229	41
995	8237	33
996	8246	24
997	8253	16
998	8261	8
999	8268	0
